Order,ECG1,ECG2
0,0.075,-0.6
1,0.065,-0.605
2,0.09,-0.625
3,0.065,-0.625
4,0.075,-0.585
5,0.065,-0.58
6,0.06,-0.605
7,0.075,-0.62
8,0.06,-0.615
9,0.07,-0.645
10,0.07,-0.7
11,0.055,-0.71
12,0.01,-0.685
13,0.015,-0.65
14,0.015,-0.645
15,0.07,-0.59
16,0.085,-0.555
17,0.06,-0.63
18,0.055,-0.69
19,0.05,-0.66
20,0.045,-0.61
21,-0.005,-0.63
22,-0.015,-0.635
23,0.01,-0.61
24,0.01,-0.52
25,-0.01,-0.385
26,0,-0.21
27,0.025,0.02
28,0.09,0.33
29,0.065,0.5
30,-0.11,0.665
31,-0.46,0.85
32,-1.025,1.045
33,-1.645,1.315
34,-2.16,1.55
35,-2.53,1.615
36,-2.67,1.48
37,-2.59,1.285
38,-2.42,1.155
39,-2.24,1.125
40,-2.085,0.975
41,-1.945,0.825
42,-1.735,0.71
43,-1.565,0.67
44,-1.475,0.655
45,-1.375,0.6
46,-1.26,0.48
47,-1.12,0.22
48,-1.015,-0.2
49,-0.95,-0.615
50,-0.88,-0.89
51,-0.78,-0.995
52,-0.705,-1.05
53,-0.57,-1
54,-0.465,-0.885
55,-0.335,-0.83
56,-0.175,-0.835
57,-0.025,-0.855
58,0.11,-0.79
59,0.255,-0.755
60,0.37,-0.75
61,0.45,-0.795
62,0.48,-0.77
63,0.49,-0.775
64,0.5,-0.775
65,0.53,-0.775
66,0.53,-0.755
67,0.56,-0.75
68,0.545,-0.71
69,0.555,-0.695
70,0.59,-0.695
71,0.585,-0.71
72,0.61,-0.7
73,0.615,-0.695
74,0.655,-0.7
75,0.65,-0.665
76,0.655,-0.59
77,0.625,-0.57
78,0.66,-0.58
79,0.67,-0.585
80,0.7,-0.53
81,0.73,-0.55
82,0.745,-0.54
83,0.785,-0.565
84,0.795,-0.535
85,0.805,-0.435
86,0.855,-0.38
87,0.89,-0.44
88,0.915,-0.505
89,0.94,-0.495
90,0.97,-0.465
91,0.97,-0.45
92,1.02,-0.46
93,1.045,-0.42
94,1.035,-0.38
95,1.03,-0.32
96,1.05,-0.25
97,1.045,-0.225
98,1.035,-0.23
99,0.965,-0.15
100,0.965,-0.055
101,0.91,-0.14
102,0.84,-0.31
103,0.77,-0.31
104,0.765,-0.22
105,0.695,-0.19
106,0.645,-0.16
107,0.57,-0.105
108,0.535,-0.055
109,0.48,-0.035
110,0.45,-0.08
111,0.39,-0.065
112,0.345,-0.095
113,0.295,-0.12
114,0.26,-0.16
115,0.23,-0.2
116,0.175,-0.18
117,0.175,-0.125
118,0.15,-0.095
119,0.135,-0.09
120,0.13,-0.11
121,0.11,-0.18
122,0.09,-0.215
123,0.08,-0.215
124,0.065,-0.1
125,0.035,-0.09
126,0.075,-0.15
127,0.075,-0.235
128,0.1,-0.265
129,0.135,-0.245
130,0.11,-0.235
131,0.11,-0.205
132,0.115,-0.185
133,0.105,-0.2
134,0.115,-0.255
135,0.105,-0.32
136,0.11,-0.345
137,0.115,-0.32
138,0.125,-0.305
139,0.135,-0.34
140,0.135,-0.33
141,0.135,-0.31
142,0.135,-0.305
143,0.15,-0.315
144,0.15,-0.32
145,0.165,-0.34
146,0.17,-0.35
147,0.185,-0.32
148,0.165,-0.33
149,0.155,-0.32
150,0.135,-0.315
151,0.175,-0.305
152,0.175,-0.32
153,0.145,-0.305
154,0.09,-0.285
155,0.095,-0.29
156,0.095,-0.285
157,0.055,-0.27
158,0.04,-0.25
159,0.035,-0.29
160,0.035,-0.35
161,0.03,-0.315
162,0.04,-0.27
163,0.065,-0.25
164,0.045,-0.3
165,0.05,-0.34
166,0.045,-0.335
167,0.045,-0.32
168,0.025,-0.21
169,0.04,-0.225
170,0.045,-0.26
171,0.04,-0.305
172,0.03,-0.275
173,0.045,-0.245
174,0.05,-0.285
175,0.03,-0.33
176,0.025,-0.295
177,0.045,-0.24
178,0.065,-0.21
179,0.11,-0.235
180,0.1,-0.22
181,0.065,-0.21
182,0.07,-0.18
183,0.065,-0.205
184,0.095,-0.215
185,0.085,-0.22
186,0.05,-0.24
187,0.035,-0.245
188,0.055,-0.245
189,0.06,-0.265
190,0.05,-0.27
191,0.06,-0.235
192,0.045,-0.205
193,0.085,-0.14
194,0.085,0.015
195,0.07,0.22
196,0.175,0.555
197,0.175,0.845
198,0.045,0.985
199,-0.335,1.135
200,-0.905,1.36
201,-1.58,1.58
202,-2.095,1.66
203,-2.51,1.655
204,-2.705,1.47
205,-2.67,1.41
206,-2.545,1.41
207,-2.36,1.35
208,-2.215,1.17
209,-2.055,0.895
210,-1.925,0.735
211,-1.765,0.645
212,-1.615,0.545
213,-1.465,0.44
214,-1.36,0.365
215,-1.245,0.185
216,-1.185,-0.16
217,-1.11,-0.57
218,-1.05,-0.8
219,-0.97,-0.9
220,-0.865,-0.885
221,-0.755,-0.87
222,-0.635,-0.815
223,-0.465,-0.735
224,-0.33,-0.625
225,-0.18,-0.575
226,-0.03,-0.54
227,0.11,-0.445
228,0.2,-0.415
229,0.3,-0.465
230,0.33,-0.54
231,0.375,-0.57
232,0.425,-0.545
233,0.445,-0.505
234,0.485,-0.46
235,0.485,-0.425
236,0.495,-0.39
237,0.525,-0.31
238,0.525,-0.34
239,0.515,-0.395
240,0.51,-0.375
241,0.52,-0.375
242,0.535,-0.39
243,0.55,-0.405
244,0.59,-0.39
245,0.605,-0.36
246,0.6,-0.335
247,0.675,-0.305
248,0.725,-0.345
249,0.73,-0.37
250,0.735,-0.345
251,0.73,-0.32
252,0.745,-0.325
253,0.775,-0.31
254,0.795,-0.265
255,0.81,-0.29
256,0.785,-0.34
257,0.82,-0.33
258,0.845,-0.3
259,0.85,-0.295
260,0.88,-0.26
261,0.87,-0.27
262,0.85,-0.325
263,0.82,-0.395
264,0.785,-0.415
265,0.775,-0.35
266,0.775,-0.255
267,0.765,-0.22
268,0.705,-0.24
269,0.67,-0.285
270,0.6,-0.225
271,0.545,-0.21
272,0.515,-0.235
273,0.435,-0.315
274,0.415,-0.32
275,0.365,-0.29
276,0.32,-0.255
277,0.29,-0.245
278,0.265,-0.275
