0rder,ECG1,ECG2
0,-0.875,1.34
1,-0.82,1.1
2,-0.76,0.92
3,-0.71,0.75
4,-0.71,0.61
5,-0.64,0.575
6,-0.56,0.71
7,-0.55,0.97
8,-0.505,1.175
9,-0.46,1.1
10,-0.415,0.64
11,-0.34,0.005
12,-0.29,-0.5
13,-0.2,-0.72
14,-0.155,-0.765
15,-0.095,-0.69
16,-0.02,-0.665
17,0.07,-0.67
18,0.17,-0.625
19,0.24,-0.59
20,0.32,-0.54
21,0.35,-0.55
22,0.375,-0.56
23,0.405,-0.545
24,0.425,-0.54
25,0.46,-0.525
26,0.47,-0.53
27,0.47,-0.52
28,0.49,-0.51
29,0.475,-0.5
30,0.5,-0.515
31,0.51,-0.49
32,0.49,-0.48
33,0.505,-0.49
34,0.51,-0.5
35,0.495,-0.495
36,0.51,-0.5
37,0.51,-0.49
38,0.515,-0.485
39,0.52,-0.49
40,0.53,-0.495
41,0.53,-0.495
42,0.54,-0.505
43,0.535,-0.515
44,0.54,-0.515
45,0.575,-0.515
46,0.575,-0.52
47,0.57,-0.55
48,0.59,-0.545
49,0.61,-0.56
50,0.61,-0.535
51,0.615,-0.55
52,0.59,-0.59
53,0.62,-0.63
54,0.63,-0.625
55,0.635,-0.62
56,0.64,-0.66
57,0.64,-0.66
58,0.66,-0.67
59,0.665,-0.645
60,0.67,-0.655
61,0.685,-0.64
62,0.685,-0.64
63,0.675,-0.615
64,0.69,-0.595
65,0.665,-0.55
66,0.645,-0.515
67,0.615,-0.465
68,0.59,-0.44
69,0.56,-0.41
70,0.53,-0.385
71,0.54,-0.355
72,0.495,-0.33
73,0.475,-0.315
74,0.45,-0.305
75,0.45,-0.315
76,0.425,-0.275
77,0.41,-0.31
78,0.395,-0.31
79,0.365,-0.32
80,0.33,-0.315
81,0.31,-0.32
82,0.33,-0.32
83,0.3,-0.33
84,0.315,-0.33
85,0.31,-0.33
86,0.29,-0.355
87,0.27,-0.355
88,0.275,-0.345
89,0.26,-0.34
90,0.27,-0.37
91,0.26,-0.38
92,0.25,-0.395
93,0.23,-0.37
94,0.22,-0.395
95,0.24,-0.39
96,0.255,-0.385
97,0.27,-0.4
