Order,ECG1,ECG2
0,-0.13,-0.275
1,-0.125,-0.28
2,-0.12,-0.3
3,-0.105,-0.27
4,-0.11,-0.275
5,-0.125,-0.3
6,-0.12,-0.325
7,-0.11,-0.285
8,-0.12,-0.235
9,-0.125,-0.24
10,-0.12,-0.34
11,-0.13,-0.33
12,-0.125,-0.32
13,-0.135,-0.335
14,-0.13,-0.37
15,-0.11,-0.38
16,-0.13,-0.34
17,-0.11,-0.335
18,-0.135,-0.345
19,-0.115,-0.355
20,-0.125,-0.35
21,-0.12,-0.335
22,-0.13,-0.365
23,-0.115,-0.37
24,-0.13,-0.365
25,-0.155,-0.375
26,-0.15,-0.365
27,-0.11,-0.36
28,-0.095,-0.345
29,-0.08,-0.355
30,-0.065,-0.335
31,-0.035,-0.31
32,0.025,-0.27
33,0.045,-0.275
34,0.05,-0.3
35,0.02,-0.32
36,-0.025,-0.345
37,-0.08,-0.33
38,-0.095,-0.43
39,-0.12,-0.51
40,-0.125,-0.485
41,-0.13,-0.42
42,-0.14,-0.36
43,-0.13,-0.335
44,-0.13,-0.33
45,-0.14,-0.395
46,-0.15,-0.5
47,-0.15,-0.525
48,-0.12,-0.475
49,-0.145,-0.41
50,-0.12,-0.36
51,-0.13,-0.31
52,-0.125,-0.19
53,-0.12,-0.045
54,-0.06,0.2
55,0.01,0.61
56,0.05,1.005
57,-0.13,1.22
58,-0.46,1.29
59,-1.02,1.33
60,-1.76,1.545
61,-2.42,1.655
62,-2.83,1.535
63,-3.04,1.425
64,-3,1.395
65,-2.855,1.29
66,-2.675,1.23
67,-2.565,1.12
68,-2.455,0.965
69,-2.22,0.83
70,-1.985,0.735
71,-1.815,0.715
72,-1.635,0.735
73,-1.465,0.7
74,-1.335,0.475
75,-1.21,0
76,-1.115,-0.505
77,-0.975,-0.855
78,-0.83,-0.96
79,-0.69,-0.885
80,-0.545,-0.785
81,-0.41,-0.75
82,-0.24,-0.67
83,-0.065,-0.635
84,0.085,-0.62
85,0.235,-0.595
86,0.325,-0.575
87,0.39,-0.545
88,0.39,-0.505
89,0.44,-0.525
90,0.475,-0.54
91,0.5,-0.55
92,0.525,-0.545
93,0.525,-0.555
94,0.555,-0.555
95,0.575,-0.5
96,0.62,-0.48
97,0.63,-0.455
98,0.635,-0.475
99,0.625,-0.445
100,0.655,-0.415
101,0.69,-0.435
102,0.705,-0.485
103,0.75,-0.495
104,0.775,-0.475
105,0.805,-0.455
106,0.82,-0.38
107,0.87,-0.355
108,0.88,-0.485
109,0.89,-0.525
110,0.935,-0.485
111,0.955,-0.44
112,0.975,-0.425
113,1.005,-0.455
114,1.035,-0.44
115,1.045,-0.425
116,1.075,-0.42
117,1.06,-0.4
118,1.08,-0.4
119,1.085,-0.37
120,1.09,-0.335
121,1.08,-0.32
122,1.07,-0.335
123,1.035,-0.32
124,0.995,-0.285
125,0.94,-0.235
126,0.865,-0.19
127,0.865,-0.185
128,0.83,-0.195
129,0.81,-0.18
130,0.815,-0.19
131,0.765,-0.175
132,0.725,-0.19
133,0.695,-0.235
134,0.66,-0.295
135,0.615,-0.325
136,0.495,-0.355
137,0.385,-0.38
138,0.265,-0.32
139,0.21,-0.35
140,0.135,-0.425
141,0.075,-0.5
142,0.05,-0.625
143,0.03,-0.735
144,0.005,-0.72
145,0.015,-0.72
146,0.02,-0.72
147,0.025,-0.685
148,-0.005,-0.69
149,-0.025,-0.72
150,0.01,-0.72
151,0.025,-0.75
152,0.01,-0.795
153,0.01,-0.805
154,-0.005,-0.775
155,-0.005,-0.77
156,0.005,-0.79
157,0.015,-0.78
158,0.02,-0.76
159,0.025,-0.775
160,0.025,-0.8
161,0.04,-0.805
162,0.025,-0.81
163,0.05,-0.835
164,0.04,-0.695
165,0.05,-0.385
166,0.08,-0.055
167,0.18,0.205
168,0.23,0.335
169,0.15,0.42
170,-0.145,0.46
171,-0.695,0.545
172,-1.45,0.66
173,-2.075,0.745
174,-2.53,0.645
175,-2.755,0.53
176,-2.72,0.405
177,-2.555,0.24
178,-2.42,0.13
179,-2.325,0.06
180,-2.155,0.065
181,-1.98,0.05
182,-1.825,0.05
183,-1.68,-0.025
184,-1.505,-0.18
185,-1.37,-0.53
186,-1.25,-0.91
187,-1.105,-1.095
188,-0.995,-1.215
189,-0.85,-1.3
190,-0.7,-1.3
191,-0.555,-1.22
192,-0.355,-1.145
193,-0.185,-1.08
194,0.015,-1
195,0.18,-1.005
196,0.31,-0.975
197,0.365,-0.97
198,0.435,-0.925
199,0.45,-0.9
200,0.475,-0.96
201,0.525,-0.945
202,0.53,-0.87
203,0.56,-0.85
204,0.59,-0.885
205,0.62,-0.915
206,0.6,-0.95
207,0.62,-0.955
208,0.645,-0.89
209,0.67,-0.82
210,0.69,-0.765
211,0.715,-0.735
212,0.715,-0.765
213,0.735,-0.92
214,0.785,-1.025
215,0.815,-0.98
216,0.815,-0.925
217,0.835,-0.945
218,0.885,-0.94
219,0.9,-0.98
220,0.915,-1.01
221,0.935,-0.98
222,0.96,-0.975
223,0.96,-0.96
224,1.01,-0.92
225,1.005,-0.93
226,1,-0.9
227,1,-0.885
228,0.99,-0.955
229,0.97,-0.935
230,0.98,-0.84
231,0.935,-0.755
232,0.92,-0.72
233,0.865,-0.765
234,0.835,-0.785
235,0.785,-0.76
236,0.74,-0.69
237,0.705,-0.71
238,0.66,-0.72
239,0.575,-0.71
240,0.54,-0.7
241,0.5,-0.71
242,0.435,-0.71
243,0.42,-0.695
244,0.365,-0.72
245,0.335,-0.785
246,0.285,-0.795
247,0.255,-0.74
248,0.24,-0.68
249,0.25,-0.715
250,0.215,-0.72
251,0.18,-0.67
