Order,ECG1,ECG2
0,0.155,0.255
1,0.15,0.2
2,0.165,0.23
3,0.145,0.21
4,0.12,0.2
5,0.12,0.175
6,0.1,0.18
7,0.12,0.175
8,0.1,0.185
9,0.105,0.165
10,0.1,0.175
11,0.085,0.19
12,0.12,0.18
13,0.105,0.18
14,0.1,0.2
15,0.13,0.26
16,0.14,0.31
17,0.155,0.395
18,0.165,0.58
19,0.2,0.785
20,0.24,1.02
21,0.29,1.18
22,0.125,1.43
23,-0.31,1.71
24,-1,1.98
25,-1.67,2.145
26,-2.25,2.245
27,-2.67,2.245
28,-2.685,2.24
29,-2.54,2.18
30,-2.325,2.165
31,-2.18,2.075
32,-2.055,1.94
33,-1.895,1.865
34,-1.695,1.81
35,-1.54,1.78
36,-1.41,1.675
37,-1.275,1.445
38,-1.125,0.99
39,-1,0.455
40,-0.91,0.07
41,-0.835,-0.145
42,-0.705,-0.205
43,-0.605,-0.13
44,-0.46,-0.08
45,-0.295,-0.05
46,-0.085,-0.04
47,0.105,0.005
48,0.26,-0.005
49,0.37,-0.005
50,0.505,0
51,0.54,0.02
52,0.6,0.035
53,0.63,0.035
54,0.695,0.06
55,0.73,0.09
56,0.735,0.085
57,0.79,0.06
58,0.81,0.08
59,0.825,0.115
60,0.835,0.15
61,0.875,0.18
62,0.905,0.18
63,0.94,0.21
64,0.96,0.225
65,1.025,0.235
66,1.03,0.24
67,1.06,0.23
68,1.125,0.225
69,1.155,0.21
70,1.165,0.215
71,1.205,0.24
72,1.25,0.225
73,1.26,0.2
74,1.305,0.22
75,1.33,0.225
76,1.345,0.225
77,1.36,0.195
78,1.38,0.17
79,1.365,0.195
80,1.325,0.2
81,1.3,0.19
82,1.265,0.205
83,1.215,0.23
84,1.145,0.27
85,1.06,0.3
86,1.025,0.335
87,1.005,0.34
88,0.94,0.355
89,0.87,0.425
90,0.845,0.465
91,0.785,0.485
92,0.755,0.495
93,0.705,0.505
94,0.645,0.51
95,0.615,0.495
96,0.58,0.48
97,0.53,0.475
98,0.495,0.495
99,0.43,0.475
100,0.43,0.48
101,0.415,0.47
102,0.405,0.475
103,0.395,0.495
104,0.39,0.49
105,0.375,0.495
106,0.375,0.525
107,0.365,0.51
108,0.36,0.49
109,0.355,0.49
110,0.37,0.5
111,0.37,0.475
112,0.365,0.465
113,0.355,0.45
114,0.37,0.45
115,0.305,0.41
116,0.275,0.395
117,0.255,0.37
118,0.255,0.35
119,0.24,0.315
120,0.205,0.275
121,0.19,0.26
122,0.19,0.255
123,0.18,0.24
124,0.155,0.205
125,0.155,0.21
126,0.18,0.185
127,0.16,0.19
128,0.15,0.175
129,0.155,0.19
130,0.2,0.175
131,0.195,0.17
132,0.195,0.175
133,0.175,0.185
134,0.19,0.175
135,0.175,0.19
136,0.175,0.195
137,0.2,0.225
138,0.21,0.225
139,0.205,0.225
140,0.225,0.195
141,0.22,0.24
142,0.235,0.255
143,0.25,0.27
144,0.24,0.24
145,0.255,0.26
146,0.24,0.27
147,0.265,0.265
148,0.245,0.275
149,0.25,0.29
150,0.265,0.305
151,0.255,0.275
152,0.255,0.27
153,0.265,0.28
154,0.255,0.29
155,0.225,0.28
156,0.19,0.28
157,0.19,0.275
158,0.16,0.28
159,0.14,0.27
160,0.12,0.29
161,0.115,0.265
162,0.11,0.245
163,0.12,0.22
164,0.11,0.215
165,0.075,0.19
166,0.1,0.175
167,0.075,0.17
168,0.055,0.16
169,0.065,0.18
170,0.075,0.195
171,0.095,0.22
172,0.07,0.21
173,0.075,0.22
174,0.095,0.23
175,0.1,0.255
176,0.105,0.26
177,0.105,0.245
178,0.095,0.25
179,0.11,0.26
180,0.12,0.24
181,0.12,0.26
182,0.115,0.26
183,0.11,0.285
184,0.135,0.3
185,0.15,0.305
186,0.145,0.285
187,0.145,0.295
188,0.14,0.27
189,0.15,0.275
190,0.165,0.29
191,0.16,0.285
192,0.155,0.305
193,0.19,0.32
194,0.195,0.315
195,0.19,0.35
196,0.175,0.36
197,0.2,0.36
198,0.22,0.39
199,0.21,0.435
200,0.185,0.605
201,0.19,0.775
202,0.235,0.985
203,0.25,1.13
204,0.12,1.255
205,-0.18,1.43
206,-0.705,1.62
207,-1.42,1.805
208,-2.055,1.92
209,-2.56,1.9
210,-2.8,1.865
211,-2.74,1.82
212,-2.6,1.745
213,-2.415,1.735
214,-2.31,1.635
215,-2.2,1.525
216,-2.005,1.45
217,-1.815,1.41
218,-1.685,1.375
219,-1.545,1.315
220,-1.425,1.07
221,-1.26,0.65
222,-1.105,0.23
223,-1.04,-0.05
224,-0.9,-0.155
225,-0.745,-0.145
226,-0.585,-0.08
227,-0.405,-0.05
228,-0.205,-0.02
229,0,0
230,0.195,0.03
231,0.355,0.03
232,0.455,0.01
233,0.54,0.03
234,0.595,0.03
235,0.625,0.025
236,0.64,0.01
237,0.665,0.02
238,0.69,0.04
239,0.73,0.055
240,0.73,0.055
241,0.78,0.07
242,0.76,0.075
243,0.77,0.065
244,0.785,0.075
245,0.81,0.1
246,0.82,0.1
247,0.83,0.085
248,0.825,0.085
249,0.82,0.085
250,0.86,0.09
251,0.865,0.07
252,0.9,0.095
