Order,ECG1,ECG2
0,-2.23,0.45
1,-2.2,0.385
2,-2.11,0.425
3,-2.04,0.33
4,-1.94,0.29
5,-1.77,0.315
6,-1.63,0.395
7,-1.54,0.345
8,-1.42,0.135
9,-1.29,-0.095
10,-1.18,-0.34
11,-1.035,-0.64
12,-0.895,-0.825
13,-0.8,-0.92
14,-0.7,-0.95
15,-0.6,-0.92
16,-0.465,-0.88
17,-0.325,-0.91
18,-0.14,-0.985
19,-0.015,-0.96
20,0.17,-0.9
21,0.34,-0.92
22,0.49,-0.94
23,0.585,-0.925
24,0.645,-0.9
25,0.69,-0.89
26,0.695,-0.93
27,0.715,-0.975
28,0.705,-0.95
29,0.73,-0.95
30,0.71,-0.975
31,0.715,-0.985
32,0.73,-0.93
33,0.72,-0.86
34,0.71,-0.85
35,0.7,-0.955
36,0.695,-1.08
37,0.725,-1.095
38,0.73,-1.025
39,0.76,-0.995
40,0.805,-0.97
41,0.845,-0.94
42,0.875,-0.915
43,0.91,-0.905
44,0.945,-0.905
45,0.995,-0.87
46,0.995,-0.85
47,1.045,-0.825
48,1.095,-0.83
49,1.125,-0.865
50,1.18,-0.835
51,1.21,-0.825
52,1.215,-0.8
53,1.25,-0.8
54,1.26,-0.79
55,1.275,-0.765
56,1.335,-0.765
57,1.355,-0.78
58,1.365,-0.775
59,1.385,-0.755
60,1.365,-0.71
61,1.345,-0.72
62,1.335,-0.765
63,1.345,-0.755
64,1.295,-0.725
65,1.215,-0.7
66,1.17,-0.685
67,1.125,-0.655
68,1.045,-0.64
69,0.95,-0.64
70,0.87,-0.61
71,0.755,-0.545
72,0.69,-0.525
73,0.62,-0.575
74,0.56,-0.545
75,0.51,-0.39
76,0.485,-0.3
77,0.46,-0.555
78,0.425,-0.785
79,0.375,-0.845
80,0.32,-0.79
81,0.31,-0.73
82,0.31,-0.7
83,0.32,-0.67
84,0.325,-0.625
85,0.3,-0.65
86,0.3,-0.655
87,0.27,-0.665
88,0.285,-0.64
89,0.275,-0.615
90,0.27,-0.605
91,0.23,-0.595
92,0.255,-0.56
93,0.235,-0.555
94,0.255,-0.56
95,0.27,-0.615
96,0.275,-0.63
97,0.27,-0.605
98,0.285,-0.59
99,0.31,-0.56
100,0.315,-0.56
101,0.31,-0.555
102,0.325,-0.495
103,0.32,-0.3
104,0.305,-0.29
105,0.315,-0.6
106,0.32,-0.915
107,0.305,-0.99
108,0.29,-0.88
109,0.325,-0.815
110,0.325,-0.78
111,0.31,-0.75
112,0.315,-0.755
113,0.31,-0.81
114,0.315,-0.83
115,0.305,-0.795
116,0.3,-0.765
117,0.29,-0.76
118,0.28,-0.775
119,0.29,-0.795
120,0.28,-0.78
121,0.27,-0.835
122,0.245,-0.905
123,0.225,-0.905
124,0.195,-0.855
125,0.135,-0.74
126,0.065,-0.74
127,0.03,-0.82
128,0,-0.87
129,0.02,-0.835
130,0.03,-0.845
131,0.065,-0.865
132,0.09,-0.825
133,0.095,-0.85
134,0.105,-0.885
135,0.11,-0.885
136,0.095,-0.86
137,0.065,-0.83
138,0.08,-0.785
139,0.065,-0.765
140,0.08,-0.72
141,0.08,-0.67
142,0.07,-0.69
143,0.085,-0.865
144,0.085,-1.095
145,0.08,-1.11
146,0.055,-1.015
147,0.06,-0.94
148,0.09,-0.98
149,0.08,-1.035
150,0.08,-0.98
151,0.08,-0.9
152,0.105,-0.9
153,0.1,-0.91
154,0.1,-0.88
155,0.08,-0.8
156,0.08,-0.775
157,0.065,-0.87
158,0.085,-0.975
159,0.075,-0.985
160,0.095,-1.045
161,0.105,-1.135
162,0.095,-1.115
163,0.1,-1.015
164,0.1,-0.965
165,0.115,-0.975
166,0.12,-1
167,0.115,-1.085
168,0.13,-1.12
169,0.13,-1.125
170,0.145,-1.09
171,0.14,-1.04
172,0.185,-0.99
173,0.17,-0.94
174,0.18,-0.965
