Order,ECG1,ECG2
0,-0.025,-0.36
1,-0.035,-0.34
2,-0.02,-0.37
3,-0.01,-0.375
4,-0.015,-0.37
5,0.005,-0.36
6,-0.03,-0.375
7,-0.02,-0.37
8,-0.02,-0.35
9,-0.02,-0.305
10,-0.005,-0.3
11,-0.02,-0.235
12,-0.01,-0.11
13,0.025,0.06
14,0.065,0.315
15,0.12,0.655
16,0.06,0.915
17,-0.185,1.03
18,-0.56,1.05
19,-1.18,1.115
20,-1.83,1.23
21,-2.345,1.27
22,-2.715,1.23
23,-2.82,1.145
24,-2.76,1.07
25,-2.58,0.965
26,-2.395,0.85
27,-2.24,0.75
28,-2.115,0.625
29,-1.92,0.485
30,-1.745,0.38
31,-1.62,0.36
32,-1.51,0.34
33,-1.365,0.315
34,-1.25,0.205
35,-1.1,-0.05
36,-1.03,-0.41
37,-0.915,-0.625
38,-0.785,-0.695
39,-0.65,-0.735
40,-0.555,-0.73
41,-0.44,-0.64
42,-0.29,-0.565
43,-0.145,-0.51
44,0,-0.43
45,0.155,-0.405
46,0.305,-0.395
47,0.39,-0.395
48,0.47,-0.39
49,0.49,-0.36
50,0.525,-0.355
51,0.555,-0.365
52,0.54,-0.35
53,0.54,-0.34
54,0.57,-0.33
55,0.575,-0.33
56,0.56,-0.295
57,0.595,-0.295
58,0.63,-0.305
59,0.64,-0.31
60,0.67,-0.285
61,0.66,-0.26
62,0.675,-0.24
63,0.665,-0.26
64,0.7,-0.26
65,0.71,-0.225
66,0.73,-0.265
67,0.76,-0.305
68,0.77,-0.355
69,0.78,-0.345
70,0.8,-0.315
71,0.825,-0.295
72,0.87,-0.305
73,0.895,-0.3
74,0.89,-0.29
75,0.945,-0.29
76,0.93,-0.28
77,0.98,-0.265
78,0.975,-0.265
79,1.02,-0.28
80,0.995,-0.26
81,1.005,-0.25
82,1.015,-0.24
83,1.025,-0.225
84,1.005,-0.195
85,0.98,-0.165
86,0.98,-0.12
87,0.96,-0.095
88,0.905,-0.07
89,0.88,-0.055
90,0.83,-0.06
91,0.8,-0.025
92,0.78,-0.025
93,0.72,-0.035
94,0.665,0
95,0.595,0.06
96,0.54,0.02
97,0.505,-0.095
98,0.48,-0.21
99,0.425,-0.2
100,0.375,-0.2
101,0.325,-0.175
102,0.315,-0.195
103,0.31,-0.155
104,0.265,-0.14
105,0.245,-0.16
106,0.24,-0.21
107,0.205,-0.2
108,0.23,-0.215
109,0.2,-0.18
110,0.185,-0.17
111,0.175,-0.185
112,0.165,-0.195
113,0.155,-0.145
114,0.17,-0.14
