'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
180000,0.185,-0.510
180001,0.315,-0.495
180002,0.405,-0.510
180003,0.465,-0.480
180004,0.515,-0.495
180005,0.540,-0.480
180006,0.570,-0.480
180007,0.580,-0.450
180008,0.605,-0.460
180009,0.610,-0.445
180010,0.620,-0.425
180011,0.660,-0.430
180012,0.640,-0.415
180013,0.660,-0.405
180014,0.680,-0.405
180015,0.700,-0.385
180016,0.725,-0.390
180017,0.715,-0.375
180018,0.745,-0.375
180019,0.790,-0.390
180020,0.800,-0.360
180021,0.810,-0.370
180022,0.815,-0.355
180023,0.850,-0.385
180024,0.850,-0.400
180025,0.885,-0.390
180026,0.920,-0.420
180027,0.960,-0.420
180028,0.980,-0.435
180029,1.020,-0.435
180030,1.045,-0.450
180031,1.060,-0.475
180032,1.100,-0.495
180033,1.150,-0.485
180034,1.155,-0.510
180035,1.170,-0.535
180036,1.205,-0.545
180037,1.225,-0.535
180038,1.210,-0.525
180039,1.205,-0.530
180040,1.210,-0.515
180041,1.195,-0.480
180042,1.170,-0.465
180043,1.135,-0.440
180044,1.095,-0.390
180045,1.075,-0.355
180046,1.030,-0.325
180047,0.970,-0.295
180048,0.925,-0.265
180049,0.865,-0.240
180050,0.810,-0.215
180051,0.765,-0.195
180052,0.720,-0.180
180053,0.655,-0.180
180054,0.585,-0.160
180055,0.525,-0.180
180056,0.470,-0.190
180057,0.435,-0.190
180058,0.380,-0.220
180059,0.355,-0.245
180060,0.285,-0.240
180061,0.245,-0.230
180062,0.225,-0.235
180063,0.210,-0.255
180064,0.185,-0.275
180065,0.170,-0.260
180066,0.155,-0.270
180067,0.125,-0.265
180068,0.120,-0.285
180069,0.135,-0.290
180070,0.125,-0.295
180071,0.105,-0.300
180072,0.135,-0.305
180073,0.100,-0.300
180074,0.115,-0.295
180075,0.115,-0.315
180076,0.095,-0.330
180077,0.105,-0.320
180078,0.085,-0.305
180079,0.080,-0.335
180080,0.095,-0.330
180081,0.090,-0.340
180082,0.100,-0.345
180083,0.115,-0.360
180084,0.095,-0.355
180085,0.110,-0.360
180086,0.115,-0.340
180087,0.130,-0.370
180088,0.130,-0.360
180089,0.110,-0.380
180090,0.150,-0.385
180091,0.135,-0.375
180092,0.155,-0.385
180093,0.150,-0.390
180094,0.135,-0.395
180095,0.165,-0.395
180096,0.125,-0.410
180097,0.115,-0.425
180098,0.115,-0.410
180099,0.135,-0.410
180100,0.140,-0.405
180101,0.120,-0.400
180102,0.110,-0.405
180103,0.120,-0.425
180104,0.115,-0.420
180105,0.115,-0.400
180106,0.130,-0.400
180107,0.120,-0.385
180108,0.130,-0.400
180109,0.105,-0.385
180110,0.130,-0.400
180111,0.115,-0.370
180112,0.105,-0.395
180113,0.110,-0.385
180114,0.100,-0.365
180115,0.095,-0.355
180116,0.095,-0.370
180117,0.095,-0.360
180118,0.095,-0.370
180119,0.085,-0.400
180120,0.080,-0.370
180121,0.070,-0.360
180122,0.090,-0.365
180123,0.070,-0.370
180124,0.085,-0.380
180125,0.080,-0.365
180126,0.085,-0.355
180127,0.095,-0.350
180128,0.075,-0.365
180129,0.075,-0.365
180130,0.110,-0.345
180131,0.060,-0.345
180132,0.070,-0.355
180133,0.080,-0.360
180134,0.090,-0.345
180135,0.075,-0.355
180136,0.070,-0.350
180137,0.050,-0.345
180138,0.060,-0.325
180139,0.050,-0.355
180140,0.050,-0.350
180141,0.055,-0.355
180142,0.045,-0.340
180143,0.055,-0.365
180144,0.060,-0.365
180145,0.040,-0.360
180146,0.075,-0.340
180147,0.055,-0.340
180148,0.055,-0.350
180149,0.050,-0.350
180150,0.045,-0.335
180151,0.075,-0.350
180152,0.045,-0.345
180153,0.030,-0.330
180154,0.055,-0.335
180155,0.060,-0.360
180156,0.050,-0.360
180157,0.055,-0.350
180158,0.035,-0.345
180159,0.070,-0.345
180160,0.030,-0.340
180161,0.065,-0.290
180162,0.060,-0.245
180163,0.060,-0.240
180164,0.070,-0.245
180165,0.105,-0.215
180166,0.135,-0.170
180167,0.150,-0.165
180168,0.175,-0.160
180169,0.210,-0.135
180170,0.240,-0.120
180171,0.230,-0.185
180172,0.220,-0.220
180173,0.205,-0.235
180174,0.175,-0.230
180175,0.150,-0.265
180176,0.100,-0.290
180177,0.070,-0.300
180178,0.060,-0.320
180179,0.040,-0.315
180180,0.005,-0.340
180181,-0.015,-0.380
180182,-0.005,-0.420
180183,0.000,-0.400
180184,0.040,-0.410
180185,0.020,-0.425
180186,0.015,-0.400
